GetBattleInfo, GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot, GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (ignored), GetBattleInfo
Shoot (killed), GetBattleInfo
Player 1 won with 1 tanks still alive
